iter	Logloss
0	0.2216552084
1	0.1372445199
2	0.1055089597
3	0.0826734555
4	0.06665070337
5	0.04978394738
6	0.04337818363
7	0.03460782096
8	0.02881642088
9	0.02478543764
10	0.02103733449
11	0.01648506777
12	0.01410691272
13	0.01184825983
14	0.009870300103
15	0.008431431739
16	0.006874644869
17	0.006113710178
18	0.005255523203
19	0.004811919461
20	0.004486148169
21	0.003809388195
22	0.003448179191
23	0.003125907783
24	0.002997053233
25	0.002873722371
26	0.002655227296
27	0.002600780294
28	0.00250347157
29	0.002275983507
30	0.002042205392
31	0.001672719133
32	0.001625080633
33	0.00157844999
34	0.001578315026
35	0.001506402337
36	0.001360243664
37	0.001293840236
38	0.001293840236
39	0.001293840236
40	0.001293752698
41	0.001293710882
42	0.001293749775
43	0.001293749775
44	0.001293568066
45	0.001293547848
46	0.001293547848
47	0.001293547848
48	0.001293547601
49	0.001293492396
50	0.001293454308
51	0.001293454308
52	0.001293454308
53	0.001293454308
54	0.001293370443
55	0.001293370443
56	0.001293313111
57	0.001293313111
58	0.001256828781
59	0.001204697493
60	0.001204643876
61	0.001204643876
62	0.001204643876
63	0.001204643876
64	0.001204643876
65	0.001204643876
66	0.001204643876
67	0.001204643876
68	0.001204643876
69	0.001204643876
70	0.001204643876
71	0.001204643876
72	0.001204643876
73	0.001204643876
74	0.001204643876
75	0.001204643876
76	0.00120459606
77	0.001170818248
78	0.001127418189
79	0.001127244338
80	0.00103711158
81	0.001025781626
82	0.001025670941
83	0.001025670941
84	0.001025670941
85	0.001019656392
86	0.001019656392
87	0.001019656392
88	0.001019656392
89	0.001019656392
90	0.001019656392
91	0.001019656392
92	0.001019683447
93	0.001019683447
94	0.001019683447
95	0.001019683447
96	0.001019683447
97	0.001019683447
98	0.001019683447
99	0.001019683447
